system,probe_id,category,question,gold,answer,string_match,judge,why
mem0,conv-26:000,single-hop,What does Melanie do to keep herself busy during her pottery break?,Read a book and paint.,Reading and painting.,False,True,States the same activities as the gold answer.
mem0,conv-26:002,single-hop,What does Melanie think about Caroline's decision to adopt?,she thinks Caroline is doing something amazing and will be an awesome mom,Melanie admires Caroline's decision to adopt and believes her future family will be lucky to have her.,False,True,Both express admiration for Caroline's decision and future role as a mom.
mem0,conv-26:006,single-hop,How did Melanie feel while watching the meteor shower?,in awe of the universe,Awe and at one with the universe,False,True,Both express a sense of awe towards the universe.
mem0,conv-26:010,single-hop,What happened to Melanie's son on their road trip?,He got into an accident,He was involved in an accident.,False,True,Both answers state he was in an accident.
mem0,conv-26:012,single-hop,Whose birthday did Melanie celebrate recently?,Melanie's daughter,Her daughter's,False,True,Both answers refer to Melanie's daughter.
mem0,conv-26:013,single-hop,Why are flowers important to Melanie?,They remind her to appreciate the small moments and were a part of her wedding decor,"They bring joy and represent growth, beauty, and the importance of appreciating small moments.",False,True,Both answers emphasize appreciating small moments.
mem0,conv-26:019,single-hop,What kind of books does Caroline have in her library?,"kids' books - classics, stories from different cultures, educational books",kids' books,True,False,Incomplete; lacks details about classics and educational books.
mem0,conv-26:021,temporal,When did Melanie get hurt?,September 2023,last month,False,True,last month refers to September 2023
mem0,conv-26:023,single-hop,What motivated Caroline to pursue counseling?,"her own journey and the support she received, and how counseling improved her life",Her desire to help people who have gone through similar experiences as her.,False,True,Both answers reflect her personal experiences motivating her.
mem0,conv-26:026,single-hop,How did Melanie feel about her family supporting her?,She appreciated them a lot,Grateful,False,True,Grateful implies appreciation for support.
mem0,conv-26:027,temporal,When did Caroline go to the adoption meeting?,The friday before 15 July 2023,"July 14, 2023",False,True,Both answers refer to the same date.
mem0,conv-26:029,single-hop,What advice does Caroline give for getting started with adoption?,"Do research, find an adoption agency or lawyer, gather necessary documents, and prepare emotionally.",Research and find an adoption agency or lawyer.,True,False,Missing emotional preparation and document gathering details.
mem0,conv-26:038,single-hop,Where did Oliver hide his bone once?,In Melanie's slipper,her slipper,False,True,States the same fact with different wording.
mem0,conv-26:044,temporal,When did Caroline go to the LGBTQ conference?,10 July 2023,"July 10, 2023",False,True,Same date stated in different format.
mem0,conv-26:045,multi-hop,What books has Melanie read?,"""Nothing is Impossible"", ""Charlotte's Web""",'Charlotte's Web',True,False,Incomplete list of books read by Melanie.
